OFFSET 150
CAM FIX 50.4000040690104 0.1 0 0 
A 83.5500030517578 0 G 0 R
A 84.000005086263 0 G 0 R
B 84.3000030517578 1.5 G 0 R
B 84.750005086263 1.5 G -45 R
A 85.2000020345052 0 G 0 R
B 85.8000081380208 1.5 G 0 R
C 86.1000061035156 -0.004343033 G 0 R
B 86.4000040690104 1.5 G 0 R
A 86.7000020345052 0 G 0 R
C 87 9.536743E-06 G 0 R
A 87.6000061035156 0 G 0 R
B 88.2000020345052 1.5 G 0 R
B 88.8000081380208 2 G 45 R
B 89.4000040690104 1.5 G -45 R
A 90 0 G 0 R
A 90.6000061035156 0 G 0 R
A 91.2000020345052 0 G 0 R
A 91.8000081380208 0 G 0 R
B 92.7000020345052 1.5 G 0 R
C 93 -0.01288223 G 0 R
A 93.3000081380208 0 G 0 R
B 93.6000061035156 1.5 G 0 R
B 94.2000020345052 1.5 G 0 R
A 94.8000081380208 0 G 0 R
A 95.4000040690104 0 G 0 R
A 96 0 G 0 R
A 96.6000061035156 0 G 0 R
B 97.2000020345052 2 G 30 R
B 97.8000081380208 2 G 30 R
B 98.4000040690104 2 G -45 R
B 98.7000020345052 2 G -45 R
B 99 2 G 0 R
B 99.3000081380208 2 G 0 R
A 99.6000061035156 0 G 0 R
A 100.800008138021 0 G 0 R
A 102 0 G 0 R
A 103.200002034505 0 E 0 R
END
