OFFSET 192
CAM ZOOM 20.2105255126953 5.052 1.8  
CAM ZOOM 25.2631581624349 1.263 3  
CAM ZOOM 45.4736836751302 5.052 4.5  
CAM ROTATE 45.4736836751302 2.526 -10  
CAM ROTATE 48 2.526 10  
CAM ROTATE 50.5263163248698 2.526 -10  
CAM ROTATE 53.0526275634766 2.526 10  
CAM ROTATE 55.5789438883464 2.526 -10  
CAM ROTATE 58.1052602132161 2.526 10  
CAM ROTATE 60.6315765380859 2.526 -10  
CAM ZOOM 60.6315765380859 5.052 3  
CAM ROTATE 63.1578928629557 2.526 0  
CAM ROTATE 80.8421020507813 2.526 -15  
CAM ZOOM 83.368418375651 2.526 2.5  
CAM ZOOM 85.8947347005208 1.263 3 
CAM ROTATE 85.8947347005208 1.263 0  
CAM ZOOM 103.578938802083 2.526 1.8  
CAM ZOOM 106.105255126953 1.263 3  
CAM ZOOM 118.736836751302 2.526 1.5  
CAM ZOOM 126.315785725911 2.526 2.4  
CAM ZOOM 133.894734700521 2.526 1.8  
CAM ZOOM 141.473673502604 2.526 1.5  
A 21.4736836751302 0 G 30 R
A 21.7894719441732 0 G 30 R
A 22.1052627563477 0 G 30 R
A 22.4210510253906 0 G 30 R
A 22.7368418375651 0 G 45 R
A 23.0526301066081 0 G 45 R
A 23.3684209187826 0 G 45 R
A 23.6842091878255 0 G 45 R
A 24 0 G 0 R
B 25.2631581624349 1.5 G -30 R
C 26.0526301066081 -0.002308369 G 0 R
B 26.5263137817383 1.5 G -30 R
C 27.315788269043 0.007828236 G 0 R
B 27.7894719441732 1.5 G 0 R
C 28.7368418375651 0.1690774 G 0 R
C 29.0526301066081 -0.2580647 A 0 R
C 29.6842091878255 -0.4360399 A 0 R
A 30.315788269043 0 G 0 R
C 31.1052627563477 0.5250278 G 0 R
A 31.5789464314779 0 G 0 R
B 32.2105255126953 1.5 G 30 R
B 32.5263137817383 1.5 G 30 R
A 32.8421045939128 0 G 0 R
A 34.1052627563477 0 G -30 R
A 34.7368418375651 0 G -30 R
A 35.368418375651 0 G 0 R
B 36.1578928629557 1.5 G 30 R
A 36.6315765380859 0 G 0 R
B 37.4210510253906 1.5 G 30 R
A 37.8947347005208 0 G -45 R
C 38.8421045939128 0.6016936 G 0 R
B 39.1578928629557 1.5 A 0 R
B 39.7894719441732 1.5 A 0 R
C 40.4210510253906 0.2135711 A 0 R
C 40.8947347005208 0.2224693 A 0 R
A 41.6842091878255 0 G 0 R
A 42.4736836751302 0 G 0 R
A 42.9473673502604 0 G -45 R
A 43.5789438883464 0 G -30 R
A 44.2105255126953 0 G 0 R
B 45.4736836751302 1.5 G 30 R
A 45.9473673502604 0 G 0 R
B 46.7368418375651 1.5 G -30 R
B 47.368418375651 1.5 G -30 R
A 48 0 G 0 R
C 48.7894694010417 0.2236671 G 0 R
C 49.1052602132161 -0.2580647 A 0 R
A 49.8947347005208 0 G 0 R
A 50.5263163248698 0 G -30 R
C 51.4736836751302 0.2124987 G 0 R
A 51.7894694010417 0 G 0 R
C 52.2631581624349 0.9877634 G 0 R
B 53.0526275634766 1.5 G 30 R
B 53.6842091878255 1.5 G 30 R
B 54.3157857259115 1.5 G 0 R
C 55.5789438883464 -0.3360128 G 0 R
A 56.0526275634766 0 G 0 R
C 56.8421020507813 -0.4538379 G 0 R
A 57.3157857259115 0 G 0 R
C 58.1052602132161 0.3114572 G 0 R
C 58.7368418375651 0.3915462 A 0 R
C 59.368418375651 0.1779757 A 0 R
B 59.8421020507813 1.5 A 0 R
A 60.6315765380859 0 G 0 R
A 61.2631530761719 0 G -30 R
A 61.8947347005208 0 G -45 R
A 62.368418375651 0 G -30 R
A 63.1578928629557 0 G 0 R
C 64.4210510253906 0.2770596 G 0 R
C 65.0526275634766 1.254727 A 0 R
A 65.6842091878255 0 G 0 L
B 66.1578928629557 1.5 G 30 L
A 66.9473673502604 0 G 0 L
A 67.5789438883464 0 G 30 L
B 68.2105255126953 1.5 G 45 L
A 68.6842091878255 0 G 30 L
A 69.3157857259115 0 G 30 L
A 70.1052602132161 0 G 0 L
B 70.7368367513021 1.5 G 0 L
B 71.2105255126953 1.5 G 30 L
C 71.999994913737 0.4202499 G 0 L
C 72.6315765380859 0.5161295 A 0 L
B 73.2631530761719 1.5 A 0 L
A 73.8947347005208 0 G 0 L
A 74.5263112386068 0 G 0 L
A 75.1578928629557 0 G 0 L
A 75.7894694010417 0 G -30 L
C 76.7368367513021 0.2836924 G 0 L
C 77.0526275634766 0.6496115 A 0 L
A 77.6842091878255 0 G 0 L
C 78.3157857259115 -0.1868725 G 0 L
C 78.9473673502604 -0.2402687 A 0 L
C 79.5789438883464 0 G 0 L
B 80.5263112386068 1.5 A 0 L
B 80.8421020507813 1.5 G 45 L
B 81.4736785888672 1.5 G 30 L
B 82.1052602132161 1.5 G 0 L
B 82.7368367513021 1.5 G 0 L
A 83.2105255126953 0 G 0 L
B 83.999994913737 1.5 G 0 L
B 84.3157857259115 1.5 G 0 L
B 84.6315765380859 1.5 G 30 L
B 84.9473673502604 1.5 G 30 L
B 85.2631530761719 1.5 G 45 L
B 85.5789489746094 1.5 G 45 L
C 85.8947347005208 0.3466682 G 0 R
C 86.368418375651 0.3915462 A 0 R
B 87.1578877766927 1.5 A 0 R
C 87.6315714518229 0.5428257 A 0 R
B 88.4210510253906 1.5 G 0 R
C 88.8947347005208 0.4182472 G 0 R
B 89.6842041015625 1.5 G -30 R
B 90.3157857259115 1.5 G -30 R
A 90.9473673502604 0 G 0 R
B 91.4210510253906 1.5 G 30 R
A 92.2105204264323 0 G 0 R
C 92.8421020507813 0.6930351 G 0 R
A 93.4736836751302 0 G -30 R
A 93.9473673502604 0 G 0 R
B 94.7368367513021 1.5 G 30 R
B 95.368418375651 1.5 G 30 R
A 96 0 G 0 R
C 96.4736836751302 -0.5506554 G 0 R
A 97.2631530761719 0 G 0 R
C 97.7368367513021 -0.5962181 G 0 R
B 98.5263163248698 1.5 G 0 R
C 99 -0.4805336 G 0 R
B 99.7894694010417 1.5 G 30 R
C 101.05263264974 -0.1769104 G 0 R
C 101.684204101563 -0.1512794 A 0 R
B 102.315785725911 1.5 G 0 R
B 102.94736735026 1.5 G 0 R
A 103.578938802083 0 G 0 R
B 104.210520426432 1.5 G 30 R
B 104.52631632487 1.5 G 30 R
B 104.842102050781 1.5 G 30 R
B 105.47368367513 1.5 G 30 R
A 106.105255126953 0 G 0 R
C 106.578938802083 -0.4406605 G 0 R
A 107.368418375651 0 G 0 R
C 107.842102050781 -0.5695248 G 0 R
B 108.631571451823 1.5 G 0 R
C 109.105255126953 -0.3470497 G 0 R
C 109.736836751302 0.7830925 A 0 R
B 110.52631632487 1.5 A 0 R
B 111.157887776693 1.5 G 0 R
C 111.631571451823 0.5161304 G 0 R
C 112.421051025391 0.5428257 A 0 R
B 113.052622477214 1.5 G -30 R
B 113.368418375651 1.5 G -30 R
A 113.684204101563 0 G 0 R
C 114.47368367513 0.5851784 G 0 R
B 114.94736735026 1.5 G 0 R
B 115.578938802083 1.5 G -30 R
B 116.210520426432 1.5 G 0 R
C 116.684204101563 0.6485386 G 0 R
C 117.47368367513 0.7919922 G 0 R
B 118.105255126953 1.5 G 0 R
B 118.421051025391 1.5 G 0 R
A 118.736836751302 0 G 0 R
C 119.210520426432 -0.2847633 G 0 R
A 120 0 G 0 R
A 121.263153076172 0 G 0 R
B 122.368418375651 1.5 G 30 R
B 123.157887776693 1.5 G 30 R
A 123.789469401042 0 G 0 R
C 124.421051025391 -0.006761551 G 0 R
A 125.052622477214 0 G 0 R
A 126.315785725911 0 G 0 R
C 127.894734700521 0.08898926 G 0 R
C 128.210520426432 0.2046719 A 0 R
C 128.526306152344 0.400444 A 0 R
C 128.842102050781 1.236931 A 0 R
B 129.47368367513 1.5 G 0 R
B 130.105255126953 1.5 G -30 R
B 130.736836751302 1.5 G -45 R
A 131.368418375651 0 G 0 R
A 131.999989827474 0 G 30 R
A 132.631571451823 0 G 0 R
A 133.263153076172 0 G 30 R
B 133.894734700521 1.5 G 0 R
B 134.526306152344 1.5 G -30 R
B 135.157887776693 1.5 G 0 R
B 135.789469401042 1.5 G -30 R
A 136.421051025391 0 G 0 R
C 136.894734700521 0.5450954 G 0 R
A 137.684204101563 0 G 0 R
C 138.157887776693 0.5873184 G 0 R
A 138.94736735026 0 G 0 R
C 139.421051025391 -0.2580643 G 0 R
A 140.210520426432 0 G 0 R
A 140.842102050781 0 G -30 R
B 141.473673502604 1.5 A 0 R
A 143.999989827474 0 E 0 R
END
