OFFSET 192
CAM ZOOM 20.2105255126953 5.052 1.8  
CAM ZOOM 25.2631581624349 1.263 3  
CAM ZOOM 35.368418375651 2.526 5  
CAM ZOOM 42.9473673502604 2.526 3  
CAM ZOOM 45.4736836751302 10.104 7  
CAM ROTATE 45.4736836751302 2.526 10  
CAM ROTATE 48 2.526 -10  
CAM ROTATE 50.5263163248698 2.526 10  
CAM ROTATE 53.0526275634766 2.526 -10  
CAM ROTATE 55.5789438883464 2.526 10  
CAM ROTATE 58.1052602132161 2.526 -10  
CAM ZOOM 60.6315765380859 5.052 2  
CAM ROTATE 60.6315765380859 2.526 10  
CAM ROTATE 63.1578928629557 2.526 0  
CAM ZOOM 65.6842091878255 2.526 3  
CAM ZOOM 75.7894694010417 5.052 4.5  
CAM ZOOM 80.8421020507813 5.052 2  
CAM ZOOM 85.8947347005208 1.263 3  
CAM ZOOM 103.578938802083 2.526 2  
CAM ZOOM 106.105255126953 1.263 4  
CAM ZOOM 116.210520426432 5.052 2  
CAM ROTATE 120 1.263 360  
CAM ZOOM 121.263153076172 1.263 4  
CAM ZOOM 131.368418375651 5.052 3  
CAM ROTATE 131.368418375651 2.526 370  
CAM ROTATE 133.894734700521 2.526 350  
CAM ROTATE 136.421051025391 2.526 370  
CAM ZOOM 136.421051025391 5.052 1.8  
CAM ROTATE 138.94736735026 2.526 350  
CAM ROTATE 141.473673502604 2.526 360  
A 62.8421020507813 0 G 0 L
B 63.1578928629557 1.5 G 30 L
A 64.4210510253906 0 G 0 L
C 65.0526275634766 1.077898 G 0 L
B 65.6842091878255 1.5 G 30 R
A 66.1578928629557 0 G 0 R
A 66.4736836751302 0 G 0 R
B 66.9473673502604 1.5 G 0 R
A 67.5789438883464 0 G 0 R
A 67.8947347005208 0 G 0 R
B 68.2105255126953 1.5 G -30 R
A 68.6842091878255 0 G 0 R
A 68.999994913737 0 G 0 R
A 69.3157857259115 0 G 0 R
C 70.2631530761719 0.322588 G 0 R
C 70.4210510253906 0.2558384 A 0 R
C 70.5789438883464 0.2780876 A 0 R
C 70.7368367513021 0.4894314 A 0 R
A 71.2105255126953 0 G 0 R
A 71.5263112386068 0 G 0 R
B 71.999994913737 1.5 A 0 R
B 72.6315765380859 1.5 A 0 R
C 73.2631530761719 -0.4338169 G 0 R
C 73.8947347005208 -0.2780857 A 0 R
C 74.5263112386068 -0.3114586 A 0 R
C 75.1578928629557 -0.2335911 A 0 R
A 75.7894694010417 0 G 0 R
C 76.7368367513021 0.3225803 G 0 R
B 77.0526275634766 1.5 G 30 R
C 77.6842091878255 0.334774 G 0 R
C 77.999994913737 0.200222 A 0 R
C 78.3157857259115 0.3448257 A 0 R
A 78.9473673502604 0 G -30 R
A 79.2631530761719 0 G -30 R
B 79.5789438883464 1.5 G 0 R
C 80.5263112386068 0.4427986 G 0 R
A 80.8421020507813 0 G 30 R
A 81.4736785888672 0 G 0 R
A 81.7894694010417 0 G 0 R
B 82.1052602132161 1.5 G 0 R
B 82.7368367513021 1.5 G 30 R
C 83.2105255126953 1.025497 G 0 R
B 83.999994913737 1 G 0 R
B 84.1578928629557 1 G 0 R
B 84.3157857259115 1.5 G 0 R
B 84.4736785888672 1.5 G 0 R
B 84.6315765380859 2 G 0 R
B 84.7894694010417 2 G 0 R
B 84.9473673502604 2.5 G 0 R
B 85.1052602132161 2.5 G 0 R
B 85.2631530761719 3 G 0 R
B 85.4210510253906 3 G 0 R
B 85.5789489746094 3.5 G 0 R
B 85.7368367513021 3.5 G 0 R
C 85.8947347005208 -0.5672989 G 0 R
B 86.368418375651 1.5 A 0 R
C 86.6842041015625 0.7230263 A 0 R
A 87.1578877766927 0 G 0 R
B 87.6315714518229 1.5 A 0 R
C 87.9473673502604 0.7230282 A 0 R
B 88.4210510253906 1.5 G 0 R
A 88.8947347005208 0 G 0 R
A 89.2105204264323 0 G 0 R
A 89.5263163248698 0 G 0 R
C 90 0.3114624 G 0 R
C 90.3157857259115 0.300333 A 0 R
C 90.6315714518229 0.4560623 A 0 R
B 90.9473673502604 1.5 G 30 R
A 91.4210510253906 0 G 0 R
A 91.7368367513021 0 G 0 R
C 92.2105204264323 0.4460087 G 0 R
C 92.8421020507813 0.433815 A 0 R
C 93.0526326497396 0.3225822 W 0 L
C 93.2631530761719 0.3114567 W 0 R
C 93.4736836751302 0.4226875 W 0 L
A 93.9473673502604 0 G 0 L
A 94.4210510253906 0 G 0 L
C 94.7368367513021 0.6006699 G 0 L
A 95.0526326497396 0 G 0 L
B 95.368418375651 1.5 G -30 L
A 95.6842041015625 0 G 0 L
C 96 1.244761 G 0 R
A 96.4736836751302 0 G 0 R
C 96.7894694010417 0.5116768 G 0 R
A 97.2631530761719 0 G -30 R
A 97.7368367513021 0 G 0 R
C 98.0526326497396 1.089031 G 0 R
B 98.5263163248698 1.5 A 0 R
A 99 0 G 0 R
A 99.4736836751302 0 G 30 R
C 99.7894694010417 0.6017342 G 0 R
C 100.421051025391 0.3781986 A 0 R
C 101.05263264974 0.8008957 A 0 R
B 101.684204101563 1.5 G -30 R
B 102 1.5 G -30 R
B 102.315785725911 1.5 G 0 R
A 102.94736735026 0 G 0 R
C 103.578938802083 0.02010345 G 0 R
C 104.210520426432 0.1779747 A 0 R
C 104.421051025391 0.300333 A 0 R
C 104.631571451823 0.4560623 A 0 R
C 104.842102050781 0.1891041 A 0 R
C 105.47368367513 0.5450497 W 0 L
C 105.631571451823 -0.3670788 W 0 R
B 106.105255126953 1.5 G 30 R
A 106.578938802083 0 G 0 R
C 106.894734700521 -0.5550995 G 0 R
B 107.368418375651 1.5 G 0 R
A 107.842102050781 0 G 30 R
C 108.157887776693 -0.7219563 G 0 R
B 108.631571451823 1.5 G 0 R
A 109.105255126953 0 G 30 R
A 109.421051025391 0 G -30 R
A 109.736836751302 0 G 30 R
A 110.052622477214 0 G -30 R
C 110.842102050781 0.2113419 G 0 R
C 111.157887776693 0.6785355 A 0 R
B 111.631571451823 1.5 A 0 R
C 111.94736735026 0.4560776 G 0 R
A 112.421051025391 0 G 0 R
C 113.210520426432 0.2558403 G 0 R
C 113.368418375651 0.266964 A 0 R
C 113.52631632487 0.2447166 A 0 R
B 113.684204101563 1.5 G -45 R
A 114.157887776693 0 G 0 R
A 114.47368367513 0 G 0 R
C 114.94736735026 0.3882084 G 0 R
C 115.578938802083 0.3781986 G 0 R
B 116.210520426432 1.5 G 0 R
A 116.684204101563 0 G -30 R
A 117 0 G 0 R
C 117.47368367513 0.4438705 G 0 R
B 118.105255126953 1.5 G 0 R
B 118.315785725911 1.5 G 30 R
B 118.526306152344 1.5 G 45 R
C 118.736836751302 0.9699249 G 0 R
B 119.210520426432 1.5 G -30 R
B 119.526306152344 1.5 G -30 R
A 120 0 G 0 R
A 121.263153076172 0 G 0 R
A 121.736836751302 0 G 0 R
A 122.052622477214 0 G 0 R
C 122.368418375651 -0.7140369 G 0 R
C 123.157887776693 0.4226913 A 0 R
C 123.368418375651 0.3559513 A 0 R
C 123.578938802083 0.3114586 A 0 R
C 123.789469401042 0.6896553 A 0 R
A 124.263153076172 0 G -30 R
A 124.578938802083 0 G 0 R
A 125.052622477214 0 G 0 R
A 126.315785725911 0 G -30 R
C 127.894734700521 0.1647186 G 0 R
C 128.210520426432 0.200222 A 0 R
C 128.526306152344 0.2558403 A 0 R
C 128.842102050781 0.1445999 A 0 R
B 129.47368367513 1.5 G 0 R
B 130.105255126953 1.5 G 30 R
B 130.736836751302 1.5 G 45 R
A 131.368418375651 0 G 0 R
A 131.842102050781 0 G 0 R
C 133.263153076172 -0.5094986 G 0 R
B 133.894734700521 1.5 A 0 R
C 134.526306152344 0.9121208 A 0 R
B 135.157887776693 1.5 A 0 R
C 135.789469401042 0.86763 A 0 R
A 136.421051025391 0 G 0 R
B 136.894734700521 1.5 G -30 R
C 137.210520426432 1.044533 G 0 R
A 137.684204101563 0 G 0 R
B 138.157887776693 1.5 G -30 R
C 138.47368367513 0.8220673 G 0 R
A 138.94736735026 0 G -30 R
C 139.421051025391 0.7886925 G 0 R
A 140.210520426432 0 G 0 R
C 140.842102050781 0.3559494 G 0 R
C 141.157887776693 0.3782005 G 0 R
A 141.473673502604 0 G 0 R
A 143.999989827474 0 E 0 R
END
